Accident Quarter, Earned Exposure , Claims 
200901, 200 , 41 
200902, 200 , 53 
200903, 200 , 37 
200904, 200 , 35 
201001, 200 , 43 
201002, 200 , 21 
201003, 200 , 17 
201004, 200 , 46 
201101, 200 , 52 
201102, 200 , 38 
201103, 200 , 46 
201104, 200 , 59 
201201, 200 , 63 
201202, 200 , 25 
201203, 200 , 51 
201204, 200 , 55 
201301, 200 , 63 
201302, 200 , 47 
201303, 200 , 64 
201304, 200 , 19 
201401, 200 , 46 
201402, 200 , 32 
201403, 200 , 30 
201404, 200 , 52 
201501, 200 , 55 
201502, 200 , 31 
201503, 200 , 28 
201504, 200 , 20 
201601, 200 , 43 
201602, 200 , 41 
201603, 200 , 34 
201604, 200 , 30 
201701, 200 , 25 
201702, 200 , 39 
201703, 200 , 47 
201704, 200 , 32 
